"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ELECU","Electrum Special Acquisition Corporation","10.3749","259372500","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/elecu",
"ELECW","Electrum Special Acquisition Corporation","0.46","0","n/a","2015","Finance","Business Services","http://www.nasdaq.com/symbol/elecw",
"EBIO","Eleven Biotherapeutics, Inc.","2.04","49446272.76","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ebio",
"DWAC","Elkhorn Commodity Rotation Strategy ETF","25.2846","7585430.5692","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/dwac",
"CAPX","Elkhorn S&P 500 Capital Expenditures Portfolio","27.1869","2827437.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/capx",
"ESBK","Elmira Savings Bank NY (The)","21.4999","58157229.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/esbk",
"ELTK","Eltek Ltd.","0.8205","8322136.221","n/a","1997","Technology","Electrical Products","http://www.nasdaq.com/symbol/eltk",
"EMCI","EMC Insurance Group Inc.","28.67","608450078.45","n/a","1982","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/emci",
"EMCF","Emclaire Financial Corp","27.1635","58465576.533","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/emcf",
"EMKR","EMCORE Corporation","10.2","271162114.2","n/a","1997","Technology","Semiconductors","http://www.nasdaq.com/symbol/emkr",
"EMMS","Emmis Communications Corporation","2.95","36568996.5","n/a","1994","Consumer Services","Broadcasting","http://www.nasdaq.com/symbol/emms",
"NYNY","Empire Resorts, Inc.","22.5","701002440","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/nyny",
"ERS","Empire Resources, Inc.","5.87","49326490.5","n/a","n/a","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/ers",
"ENTA","Enanta Pharmaceuticals, Inc.","29.02","552577568.34","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/enta",
"ECPG","Encore Capital Group Inc","33.7","860436049.9","n/a","n/a","Finance","Finance Companies","http://www.nasdaq.com/symbol/ecpg",
"WIRE","Encore Wire Corporation","43.75","906712100","n/a","1992","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/wire",
"ENDP","Endo International plc","13.3","2965338979.4","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/endp",
"ECYT","Endocyte, Inc.","2.24","94680474.56","n/a","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ecyt",
"ELGX","Endologix, Inc.","6.885","569328085.8","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/elgx",
"NDRAU","ENDRA Life Sciences Inc.","n/a","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ndrau",
"EIGI","Endurance International Group Holdings, Inc.","9.15","1294834626.15","n/a","2013","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/eigi",
"WATT","Energous Corporation","16.78","321016367.76","n/a","2014","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/watt",
"EFOI","Energy Focus, Inc.","4.68","54709340.4","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/efoi",
"ERII","Energy Recovery, Inc.","9.29","486349011.65","n/a","2008","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/erii",
"ENOC","EnerNOC, Inc.","6","185439660","n/a","2007","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/enoc",
"ENG","ENGlobal Corporation","2.66","72785587.98","n/a","n/a","Consumer Services","Military/Government/Technical","http://www.nasdaq.com/symbol/eng",
"ENPH","Enphase Energy, Inc.","1.62","100293143.76","n/a","2012","Technology","Semiconductors","http://www.nasdaq.com/symbol/enph",
"ESGR","Enstar Group Limited","193","3736076244","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/esgr",
"ENFC","Entegra Financial Corp.","23.25","150370537.5","n/a","2014","Finance","Banks","http://www.nasdaq.com/symbol/enfc",
"ENTG","Entegris, Inc.","21.75","3074184628.5","n/a","2000","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/entg",
"ENTL","Entellus Medical, Inc.","17","360687181","n/a","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/entl",
"ETRM","EnteroMedics Inc.","7.26","28711325.28","n/a","2007","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/etrm",
"EBTC","Enterprise Bancorp Inc","33.86","388568624.12","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ebtc",
"EFSC","Enterprise Financial Services Corporation","45.9","1069993305.9","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/efsc",
"EGT","Entertainment Gaming Asia Incorporated","1.43","20683834.6","n/a","n/a","Consumer Durables","Miscellaneous manufacturing industries","http://www.nasdaq.com/symbol/egt",
"ENZY          ","Enzymotec Ltd.","9.025","205303930.95","n/a","2013","Consumer Durables","Specialty Chemicals","http://www.nasdaq.com/symbol/enzy",
"EPZM","Epizyme, Inc.","12.1","701937552.8","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/epzm",
"PLUS","ePlus inc.","121.85","862754903.95","n/a","1996","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/plus",
"EQIX","Equinix, Inc.","373.19","26638039847.43","n/a","2000","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/eqix",
"EQFN","Equitable Financial Corp.","10.01","33940927.02","n/a","2015","Finance","Savings Institutions","http://www.nasdaq.com/symbol/eqfn",
"EQBK","Equity Bancshares, Inc.","33.49","391173514.92","n/a","2015","Finance","Major Banks","http://www.nasdaq.com/symbol/eqbk",
"ERIC","Ericsson","6.13","1913130972.72","312093144","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/eric",
"ERIE","Erie Indemnity Company","115.97","6064055991.96","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/erie",
"ESCA","Escalade, Incorporated","12.95","185210369.05","n/a","n/a","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/esca",
"ESPR","Esperion Therapeutics, Inc.","23.19","523023804.69","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/espr",
"ESSA","ESSA Bancorp, Inc.","16.57","190522555.94","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/essa",
"EPIX","ESSA Pharma Inc.","2.35","68377689.15","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/epix",
"ESND","Essendant Inc.","21.65","800366033.2","n/a","n/a","Consumer Services","Paper","http://www.nasdaq.com/symbol/esnd",
"ETSY","Etsy, Inc.","12.92","1493148921.84","n/a","2015","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/etsy",
"CLWT","Euro Tech Holdings Company Limited","3.9","8041445.1","n/a","1997","Consumer Durables","Diversified Electronic Products","http://www.nasdaq.com/symbol/clwt",
"EEFT","Euronet Worldwide, Inc.","80.59","4207293225.55","n/a","1997","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/eeft",
"ESEA","Euroseas Ltd.","1.63","17795847.74","n/a","n/a","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/esea",
"EVEP","EV Energy Partners, L.P.","1.76","86337176.64","n/a","2006","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/evep",
"EVBG","Everbridge, Inc.","19.18","520699445.56","n/a","2016","n/a","n/a","http://www.nasdaq.com/symbol/evbg",
"EVK","Ever-Glory International Group, Inc.","2.4","35491056","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/evk",
"MRAM","Everspin Technologies, Inc.","9.04","112983077.12","n/a","2016","Technology","Semiconductors","http://www.nasdaq.com/symbol/mram",
"EVLV","EVINE Live Inc.","1.35","87953956.65","n/a","n/a","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/evlv",
"EVGN","Evogene Ltd.","5.34","135955380.06","n/a","n/a","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/evgn",
"EVOK","Evoke Pharma, Inc.","2.98","36804072.8","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/evok",
"EVOL","Evolving Systems, Inc.","4.45","52987889.95","n/a","1998","Technology","EDP Services","http://www.nasdaq.com/symbol/evol",
"EXA","Exa Corporation","15.99","237475500.99","n/a","2012","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/exa",
"EXAS","Exact Sciences Corporation","20.17","2186635327.43","n/a","2001","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/exas",
"EXAC","Exactech, Inc.","24.95","353912681.15","n/a","1996","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/exac",
"EXEL","Exelixis, Inc.","22.65","6488226520.05","n/a","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/exel",
"EXFO","EXFO Inc","5.35","122658053.65","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/exfo",
"EXLS","ExlService Holdings, Inc.","46.77","1567132258.47","n/a","2006","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/exls",
"EXPE","Expedia, Inc.","119.85","17954535301.8","n/a","n/a","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/expe",
"EXPD","Expeditors International of Washington, Inc.","56.17","10131644034.33","n/a","n/a","Transportation","Oil Refining/Marketing","http://www.nasdaq.com/symbol/expd",
"EXPO","Exponent, Inc.","58.1","1486926225.4","n/a","n/a","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/expo",
"ESRX","Express Scripts Holding Company","69.23","41933995600","n/a","1992","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/esrx",
"XOG","Extraction Oil & Gas, Inc.","18.82","3233927266.1","n/a","2016","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/xog",
"EXTR","Extreme Networks, Inc.","6.16","666332830.24","n/a","1999","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/extr",
"EYEG","Eyegate Pharmaceuticals, Inc.","1.66","15912565.78","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eyeg",
